2019-06-17 18:13:13,155 INFO - helpers.log_helper - Completed configuring logger.
2019-06-17 18:13:48,870 INFO - __main__ - Completed generating dataset.
2019-06-17 18:13:48,871 INFO - __main__ - Dataset info: {'X_train_np.shape': (825309, 672), 'y_train_np.shape': (825309, 5), 'X_val_np.shape': (275103, 672), 'y_val_np.shape': (275103, 5), 'X_test_np.shape': (276432, 672), 'y_test_np.shape': (276432, 5)}
2019-06-17 18:13:52,535 INFO - models.multi_lightgbm - Finished building model.
2019-06-17 18:13:52,536 INFO - models.multi_lightgbm - Model summary:
2019-06-17 18:13:52,537 INFO - models.multi_lightgbm - 1-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,538 INFO - models.multi_lightgbm - 2-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 3-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 4-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,540 INFO - models.multi_lightgbm - 5-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,545 INFO - trainers.multi_lightgbm_trainer - Started training for the 1-th regressor.
[1]	valid_0's rmse: 0.138556	valid_0's l2: 0.0191977
[963]	valid_0's rmse: 0.029959	valid_0's l2: 0.00089754
[964]	valid_0's rmse: 0.0299588	valid_0's l2: 0.000897527
[965]	valid_0's rmse: 0.0299589	valid_0's l2: 0.000897535
[966]	valid_0's rmse: 0.0299585	valid_0's l2: 0.000897514
[967]	valid_0's rmse: 0.0299582	valid_0's l2: 0.000897496
[968]	valid_0's rmse: 0.0299579	valid_0's l2: 0.000897477
[969]	valid_0's rmse: 0.0299574	valid_0's l2: 0.000897446
[970]	valid_0's rmse: 0.0299572	valid_0's l2: 0.000897437
[971]	valid_0's rmse: 0.0299567	valid_0's l2: 0.000897406
[972]	valid_0's rmse: 0.0299562	valid_0's l2: 0.000897376
[973]	valid_0's rmse: 0.029956	valid_0's l2: 0.000897363
[974]	valid_0's rmse: 0.0299558	valid_0's l2: 0.000897348
[975]	valid_0's rmse: 0.0299555	valid_0's l2: 0.000897332
[976]	valid_0's rmse: 0.0299553	valid_0's l2: 0.000897321
[977]	valid_0's rmse: 0.0299549	valid_0's l2: 0.000897294
[978]	valid_0's rmse: 0.0299545	valid_0's l2: 0.000897273
[979]	valid_0's rmse: 0.0299545	valid_0's l2: 0.000897275
[980]	valid_0's rmse: 0.0299541	valid_0's l2: 0.000897249
[981]	valid_0's rmse: 0.029954	valid_0's l2: 0.00089724
[982]	valid_0's rmse: 0.0299539	valid_0's l2: 0.000897236
[983]	valid_0's rmse: 0.0299535	valid_0's l2: 0.000897214
[984]	valid_0's rmse: 0.0299535	valid_0's l2: 0.000897211
[985]	valid_0's rmse: 0.0299531	valid_0's l2: 0.000897189
[986]	valid_0's rmse: 0.0299525	valid_0's l2: 0.000897155
[987]	valid_0's rmse: 0.0299522	valid_0's l2: 0.000897136
[988]	valid_0's rmse: 0.0299523	valid_0's l2: 0.00089714
[989]	valid_0's rmse: 0.0299524	valid_0's l2: 0.000897145
[990]	valid_0's rmse: 0.0299523	valid_0's l2: 0.000897138
[991]	valid_0's rmse: 0.0299519	valid_0's l2: 0.000897116
[992]	valid_0's rmse: 0.0299515	valid_0's l2: 0.00089709
[993]	valid_0's rmse: 0.0299513	valid_0's l2: 0.00089708
[994]	valid_0's rmse: 0.0299508	valid_0's l2: 0.000897052
[995]	valid_0's rmse: 0.0299507	valid_0's l2: 0.000897043
[996]	valid_0's rmse: 0.0299504	valid_0's l2: 0.000897027
[997]	valid_0's rmse: 0.0299502	valid_0's l2: 0.000897017
[998]	valid_0's rmse: 0.0299499	valid_0's l2: 0.000896997
[999]	valid_0's rmse: 0.0299497	valid_0's l2: 0.000896987
[1000]	valid_0's rmse: 0.0299495	valid_0's l2: 0.000896975
[1001]	valid_0's rmse: 0.0299491	valid_0's l2: 0.000896947
[1002]	valid_0's rmse: 0.0299485	valid_0's l2: 0.000896911
[1003]	valid_0's rmse: 0.0299481	valid_0's l2: 0.000896889
[1004]	valid_0's rmse: 0.029948	valid_0's l2: 0.000896885
[1005]	valid_0's rmse: 0.0299478	valid_0's l2: 0.000896873
[1006]	valid_0's rmse: 0.0299474	valid_0's l2: 0.000896849
[1007]	valid_0's rmse: 0.0299471	valid_0's l2: 0.000896828
[1008]	valid_0's rmse: 0.0299467	valid_0's l2: 0.000896805
[1009]	valid_0's rmse: 0.0299466	valid_0's l2: 0.000896798
[1010]	valid_0's rmse: 0.0299464	valid_0's l2: 0.000896788
[1011]	valid_0's rmse: 0.0299464	valid_0's l2: 0.000896786
[1012]	valid_0's rmse: 0.029946	valid_0's l2: 0.000896764
[1013]	valid_0's rmse: 0.0299457	valid_0's l2: 0.000896744
[1014]	valid_0's rmse: 0.0299456	valid_0's l2: 0.000896739
[1015]	valid_0's rmse: 0.0299456	valid_0's l2: 0.00089674
[1016]	valid_0's rmse: 0.0299454	valid_0's l2: 0.000896729
[1017]	valid_0's rmse: 0.029945	valid_0's l2: 0.000896703
[1018]	valid_0's rmse: 0.0299446	valid_0's l2: 0.000896679
[1019]	valid_0's rmse: 0.0299444	valid_0's l2: 0.000896668
[1020]	valid_0's rmse: 0.0299439	valid_0's l2: 0.000896634
[1021]	valid_0's rmse: 0.0299438	valid_0's l2: 0.000896632
[1022]	valid_0's rmse: 0.0299436	valid_0's l2: 0.000896621
[1023]	valid_0's rmse: 0.0299434	valid_0's l2: 0.000896604
[1024]	valid_0's rmse: 0.0299431	valid_0's l2: 0.000896589
[1025]	valid_0's rmse: 0.0299431	valid_0's l2: 0.00089659
[1026]	valid_0's rmse: 0.0299428	valid_0's l2: 0.000896569
[1027]	valid_0's rmse: 0.0299423	valid_0's l2: 0.000896544
[1028]	valid_0's rmse: 0.0299417	valid_0's l2: 0.000896506
[1029]	valid_0's rmse: 0.0299415	valid_0's l2: 0.000896494
[1030]	valid_0's rmse: 0.0299413	valid_0's l2: 0.000896479
[1031]	valid_0's rmse: 0.0299408	valid_0's l2: 0.000896454
[1032]	valid_0's rmse: 0.0299406	valid_0's l2: 0.000896439
[1033]	valid_0's rmse: 0.0299404	valid_0's l2: 0.00089643
[1034]	valid_0's rmse: 0.0299402	valid_0's l2: 0.000896416
[1035]	valid_0's rmse: 0.02994	valid_0's l2: 0.000896404
[1036]	valid_0's rmse: 0.0299396	valid_0's l2: 0.000896378
[1037]	valid_0's rmse: 0.0299394	valid_0's l2: 0.000896365
[1038]	valid_0's rmse: 0.0299389	valid_0's l2: 0.00089634
[1039]	valid_0's rmse: 0.0299385	valid_0's l2: 0.000896317
[1040]	valid_0's rmse: 0.0299384	valid_0's l2: 0.000896309
[1041]	valid_0's rmse: 0.029938	valid_0's l2: 0.000896284
[1042]	valid_0's rmse: 0.0299376	valid_0's l2: 0.000896262
[1043]	valid_0's rmse: 0.0299376	valid_0's l2: 0.000896259
[1044]	valid_0's rmse: 0.0299371	valid_0's l2: 0.00089623
[1045]	valid_0's rmse: 0.0299371	valid_0's l2: 0.000896228
[1046]	valid_0's rmse: 0.0299368	valid_0's l2: 0.000896211
[1047]	valid_0's rmse: 0.0299365	valid_0's l2: 0.000896197
[1048]	valid_0's rmse: 0.0299363	valid_0's l2: 0.000896181
[1049]	valid_0's rmse: 0.0299361	valid_0's l2: 0.00089617
[1050]	valid_0's rmse: 0.0299357	valid_0's l2: 0.000896148
[1051]	valid_0's rmse: 0.0299357	valid_0's l2: 0.000896144
[1052]	valid_0's rmse: 0.0299352	valid_0's l2: 0.000896117
[1053]	valid_0's rmse: 0.0299348	valid_0's l2: 0.000896093
[1054]	valid_0's rmse: 0.0299343	valid_0's l2: 0.000896065
[1055]	valid_0's rmse: 0.029934	valid_0's l2: 0.000896043
[1056]	valid_0's rmse: 0.0299337	valid_0's l2: 0.000896029
[1057]	valid_0's rmse: 0.0299339	valid_0's l2: 0.000896036
[1058]	valid_0's rmse: 0.0299335	valid_0's l2: 0.000896012
[1059]	valid_0's rmse: 0.0299332	valid_0's l2: 0.000895999
[1060]	valid_0's rmse: 0.0299329	valid_0's l2: 0.000895977
[1061]	valid_0's rmse: 0.0299329	valid_0's l2: 0.000895979
[1062]	valid_0's rmse: 0.0299326	valid_0's l2: 0.000895962
[1063]	valid_0's rmse: 0.0299322	valid_0's l2: 0.000895936
[1064]	valid_0's rmse: 0.0299319	valid_0's l2: 0.00089592
[1065]	valid_0's rmse: 0.0299316	valid_0's l2: 0.000895903
[1066]	valid_0's rmse: 0.0299314	valid_0's l2: 0.000895889
[1067]	valid_0's rmse: 0.0299309	valid_0's l2: 0.000895862
[1068]	valid_0's rmse: 0.0299307	valid_0's l2: 0.000895847
[1069]	valid_0's rmse: 0.0299305	valid_0's l2: 0.000895832
[1070]	valid_0's rmse: 0.0299302	valid_0's l2: 0.000895814
[1071]	valid_0's rmse: 0.0299298	valid_0's l2: 0.000895796
[1072]	valid_0's rmse: 0.0299299	valid_0's l2: 0.000895796
[1073]	valid_0's rmse: 0.0299294	valid_0's l2: 0.00089577
[1074]	valid_0's rmse: 0.029929	valid_0's l2: 0.000895744
[1075]	valid_0's rmse: 0.0299287	valid_0's l2: 0.000895727
[1076]	valid_0's rmse: 0.0299287	valid_0's l2: 0.000895726
[1077]	valid_0's rmse: 0.0299284	valid_0's l2: 0.000895712
[1078]	valid_0's rmse: 0.0299285	valid_0's l2: 0.000895717
[1079]	valid_0's rmse: 0.0299282	valid_0's l2: 0.000895698
[1080]	valid_0's rmse: 0.029928	valid_0's l2: 0.000895687
[1081]	valid_0's rmse: 0.0299274	valid_0's l2: 0.000895648
[1082]	valid_0's rmse: 0.0299271	valid_0's l2: 0.00089563
[1083]	valid_0's rmse: 0.0299266	valid_0's l2: 0.000895602
[1084]	valid_0's rmse: 0.0299264	valid_0's l2: 0.00089559
[1085]	valid_0's rmse: 0.0299263	valid_0's l2: 0.000895585
[1086]	valid_0's rmse: 0.029926	valid_0's l2: 0.000895566
[1087]	valid_0's rmse: 0.0299256	valid_0's l2: 0.000895544
[1088]	valid_0's rmse: 0.0299253	valid_0's l2: 0.000895521
[1089]	valid_0's rmse: 0.029925	valid_0's l2: 0.000895503
[1090]	valid_0's rmse: 0.0299247	valid_0's l2: 0.000895486
[1091]	valid_0's rmse: 0.0299243	valid_0's l2: 0.000895463
[1092]	valid_0's rmse: 0.029924	valid_0's l2: 0.000895443
[1093]	valid_0's rmse: 0.0299237	valid_0's l2: 0.000895428
[1094]	valid_0's rmse: 0.0299234	valid_0's l2: 0.000895413
[1095]	valid_0's rmse: 0.0299234	valid_0's l2: 0.000895412
[1096]	valid_0's rmse: 0.0299231	valid_0's l2: 0.00089539
[1097]	valid_0's rmse: 0.0299227	valid_0's l2: 0.000895367
[1098]	valid_0's rmse: 0.0299225	valid_0's l2: 0.000895358
[1099]	valid_0's rmse: 0.0299221	valid_0's l2: 0.000895329
[1100]	valid_0's rmse: 0.0299218	valid_0's l2: 0.000895316
[1101]	valid_0's rmse: 0.0299217	valid_0's l2: 0.000895307
[1102]	valid_0's rmse: 0.0299212	valid_0's l2: 0.000895279
[1103]	valid_0's rmse: 0.0299209	valid_0's l2: 0.000895262
[1104]	valid_0's rmse: 0.0299206	valid_0's l2: 0.000895244
[1105]	valid_0's rmse: 0.0299204	valid_0's l2: 0.000895232
[1106]	valid_0's rmse: 0.0299202	valid_0's l2: 0.000895219
[1107]	valid_0's rmse: 0.02992	valid_0's l2: 0.000895205
[1108]	valid_0's rmse: 0.0299197	valid_0's l2: 0.000895188
[1109]	valid_0's rmse: 0.0299196	valid_0's l2: 0.000895184
[1110]	valid_0's rmse: 0.0299195	valid_0's l2: 0.000895179
[1111]	valid_0's rmse: 0.0299192	valid_0's l2: 0.000895156
[1112]	valid_0's rmse: 0.0299187	valid_0's l2: 0.000895127
[1113]	valid_0's rmse: 0.0299185	valid_0's l2: 0.000895118
[1114]	valid_0's rmse: 0.0299182	valid_0's l2: 0.000895098
[1115]	valid_0's rmse: 0.0299178	valid_0's l2: 0.000895075
[1116]	valid_0's rmse: 0.0299176	valid_0's l2: 0.000895062
[1117]	valid_0's rmse: 0.0299174	valid_0's l2: 0.000895051
[1118]	valid_0's rmse: 0.0299173	valid_0's l2: 0.000895043
[1119]	valid_0's rmse: 0.029917	valid_0's l2: 0.000895025
[1120]	valid_0's rmse: 0.0299167	valid_0's l2: 0.000895009
[1121]	valid_0's rmse: 0.0299164	valid_0's l2: 0.000894994
[1122]	valid_0's rmse: 0.029916	valid_0's l2: 0.00089497
[1123]	valid_0's rmse: 0.0299157	valid_0's l2: 0.000894951
[1124]	valid_0's rmse: 0.0299154	valid_0's l2: 0.000894931
[1125]	valid_0's rmse: 0.0299151	valid_0's l2: 0.000894912
[1126]	valid_0's rmse: 0.0299149	valid_0's l2: 0.000894902
[1127]	valid_0's rmse: 0.0299148	valid_0's l2: 0.000894893
[1128]	valid_0's rmse: 0.0299146	valid_0's l2: 0.000894882
[1129]	valid_0's rmse: 0.0299145	valid_0's l2: 0.000894876
[1130]	valid_0's rmse: 0.0299142	valid_0's l2: 0.000894858
[1131]	valid_0's rmse: 0.0299139	valid_0's l2: 0.000894839
[1132]	valid_0's rmse: 0.0299133	valid_0's l2: 0.000894808
[1133]	valid_0's rmse: 0.029913	valid_0's l2: 0.00089479
[1134]	valid_0's rmse: 0.0299131	valid_0's l2: 0.000894791
[1135]	valid_0's rmse: 0.0299128	valid_0's l2: 0.000894774
[1136]	valid_0's rmse: 0.0299126	valid_0's l2: 0.000894766
[1137]	valid_0's rmse: 0.0299121	valid_0's l2: 0.000894736
[1138]	valid_0's rmse: 0.0299121	valid_0's l2: 0.000894732
[1139]	valid_0's rmse: 0.0299119	valid_0's l2: 0.000894723
[1140]	valid_0's rmse: 0.0299119	valid_0's l2: 0.000894724
[1141]	valid_0's rmse: 0.0299116	valid_0's l2: 0.000894701
[1142]	valid_0's rmse: 0.0299113	valid_0's l2: 0.000894683
[1143]	valid_0's rmse: 0.0299111	valid_0's l2: 0.000894676
[1144]	valid_0's rmse: 0.0299111	valid_0's l2: 0.000894675
[1145]	valid_0's rmse: 0.0299108	valid_0's l2: 0.000894659
[1146]	valid_0's rmse: 0.0299105	valid_0's l2: 0.000894637
[1147]	valid_0's rmse: 0.0299104	valid_0's l2: 0.000894633
[1148]	valid_0's rmse: 0.0299101	valid_0's l2: 0.000894612
[1149]	valid_0's rmse: 0.0299099	valid_0's l2: 0.000894602
[1150]	valid_0's rmse: 0.0299094	valid_0's l2: 0.000894573
[1151]	valid_0's rmse: 0.0299088	valid_0's l2: 0.000894538
[1152]	valid_0's rmse: 0.0299085	valid_0's l2: 0.000894517
[1153]	valid_0's rmse: 0.0299079	valid_0's l2: 0.000894485
[1154]	valid_0's rmse: 0.0299076	valid_0's l2: 0.000894465
[1155]	valid_0's rmse: 0.0299074	valid_0's l2: 0.00089445
[1156]	valid_0's rmse: 0.0299075	valid_0's l2: 0.000894459
[1157]	valid_0's rmse: 0.0299072	valid_0's l2: 0.00089444
[1158]	valid_0's rmse: 0.0299068	valid_0's l2: 0.000894418
[1159]	valid_0's rmse: 0.0299066	valid_0's l2: 0.000894405
[1160]	valid_0's rmse: 0.0299066	valid_0's l2: 0.000894405
[1161]	valid_0's rmse: 0.0299063	valid_0's l2: 0.000894389
[1162]	valid_0's rmse: 0.0299061	valid_0's l2: 0.000894378
[1163]	valid_0's rmse: 0.0299058	valid_0's l2: 0.000894357
[1164]	valid_0's rmse: 0.0299055	valid_0's l2: 0.000894336
[1165]	valid_0's rmse: 0.0299053	valid_0's l2: 0.000894329
[1166]	valid_0's rmse: 0.0299054	valid_0's l2: 0.000894333
[1167]	valid_0's rmse: 0.0299053	valid_0's l2: 0.000894328
[1168]	valid_0's rmse: 0.0299052	valid_0's l2: 0.000894322
[1169]	valid_0's rmse: 0.0299049	valid_0's l2: 0.000894304
[1170]	valid_0's rmse: 0.0299044	valid_0's l2: 0.000894273
[1171]	valid_0's rmse: 0.0299042	valid_0's l2: 0.000894259
[1172]	valid_0's rmse: 0.0299039	valid_0's l2: 0.000894243
[1173]	valid_0's rmse: 0.0299037	valid_0's l2: 0.00089423
[1174]	valid_0's rmse: 0.0299037	valid_0's l2: 0.000894229
[1175]	valid_0's rmse: 0.0299035	valid_0's l2: 0.000894221
[1176]	valid_0's rmse: 0.0299032	valid_0's l2: 0.000894199
[1177]	valid_0's rmse: 0.029903	valid_0's l2: 0.000894191
[1178]	valid_0's rmse: 0.0299029	valid_0's l2: 0.000894184
[1179]	valid_0's rmse: 0.0299028	valid_0's l2: 0.000894176
[1180]	valid_0's rmse: 0.0299026	valid_0's l2: 0.000894165
[1181]	valid_0's rmse: 0.0299029	valid_0's l2: 0.000894182
[1182]	valid_0's rmse: 0.0299027	valid_0's l2: 0.00089417
[1183]	valid_0's rmse: 0.0299024	valid_0's l2: 0.000894151
[1184]	valid_0's rmse: 0.029902	valid_0's l2: 0.000894129
[1185]	valid_0's rmse: 0.0299017	valid_0's l2: 0.000894109
[1186]	valid_0's rmse: 0.0299016	valid_0's l2: 0.000894105
[1187]	valid_0's rmse: 0.029901	valid_0's l2: 0.000894072
[1188]	valid_0's rmse: 0.0299009	valid_0's l2: 0.000894065
[1189]	valid_0's rmse: 0.0299007	valid_0's l2: 0.000894051
[1190]	valid_0's rmse: 0.0299005	valid_0's l2: 0.000894042
[1191]	valid_0's rmse: 0.0299003	valid_0's l2: 0.000894028
[1192]	valid_0's rmse: 0.0299004	valid_0's l2: 0.000894032
[1193]	valid_0's rmse: 0.0299	valid_0's l2: 0.000894012
[1194]	valid_0's rmse: 0.0299	valid_0's l2: 0.000894008
[1195]	valid_0's rmse: 0.0299	valid_0's l2: 0.000894013
[1196]	valid_0's rmse: 0.0299001	valid_0's l2: 0.000894016
[1197]	valid_0's rmse: 0.0298999	valid_0's l2: 0.000894006
[1198]	valid_0's rmse: 0.0298996	valid_0's l2: 0.000893985
[1199]	valid_0's rmse: 0.0298994	valid_0's l2: 0.000893975
[1200]	valid_0's rmse: 0.0298991	valid_0's l2: 0.000893959
[1201]	valid_0's rmse: 0.0298989	valid_0's l2: 0.000893947
[1202]	valid_0's rmse: 0.0298988	valid_0's l2: 0.000893936
[1203]	valid_0's rmse: 0.0298984	valid_0's l2: 0.000893914
[1204]	valid_0's rmse: 0.0298983	valid_0's l2: 0.000893909
[1205]	valid_0's rmse: 0.0298981	valid_0's l2: 0.000893895
[1206]	valid_0's rmse: 0.029898	valid_0's l2: 0.000893891
[1207]	valid_0's rmse: 0.0298978	valid_0's l2: 0.000893881
[1208]	valid_0's rmse: 0.0298976	valid_0's l2: 0.000893867
[1209]	valid_0's rmse: 0.0298973	valid_0's l2: 0.000893847
[1210]	valid_0's rmse: 0.0298971	valid_0's l2: 0.000893838
[1211]	valid_0's rmse: 0.0298971	valid_0's l2: 0.000893835
[1212]	valid_0's rmse: 0.0298968	valid_0's l2: 0.000893819
[1213]	valid_0's rmse: 0.0298965	valid_0's l2: 0.000893798
[1214]	valid_0's rmse: 0.0298962	valid_0's l2: 0.00089378
[1215]	valid_0's rmse: 0.0298961	valid_0's l2: 0.000893777
[1216]	valid_0's rmse: 0.0298958	valid_0's l2: 0.000893758
[1217]	valid_0's rmse: 0.0298956	valid_0's l2: 0.000893746
[1218]	valid_0's rmse: 0.0298954	valid_0's l2: 0.000893733
[1219]	valid_0's rmse: 0.0298952	valid_0's l2: 0.000893724
[1220]	valid_0's rmse: 0.0298954	valid_0's l2: 0.000893732
[1221]	valid_0's rmse: 0.0298954	valid_0's l2: 0.000893736
[1222]	valid_0's rmse: 0.0298953	valid_0's l2: 0.000893729
[1223]	valid_0's rmse: 0.0298951	valid_0's l2: 0.000893715
[1224]	valid_0's rmse: 0.0298951	valid_0's l2: 0.000893717
[1225]	valid_0's rmse: 0.0298948	valid_0's l2: 0.000893699
[1226]	valid_0's rmse: 0.0298947	valid_0's l2: 0.000893695
[1227]	valid_0's rmse: 0.0298946	valid_0's l2: 0.000893684
[1228]	valid_0's rmse: 0.0298943	valid_0's l2: 0.000893671
[1229]	valid_0's rmse: 0.0298939	valid_0's l2: 0.000893647
[1230]	valid_0's rmse: 0.0298937	valid_0's l2: 0.000893631
[1231]	valid_0's rmse: 0.0298931	valid_0's l2: 0.000893596
[1232]	valid_0's rmse: 0.0298927	valid_0's l2: 0.000893576
[1233]	valid_0's rmse: 0.0298925	valid_0's l2: 0.000893559
[1234]	valid_0's rmse: 0.0298925	valid_0's l2: 0.00089356
[1235]	valid_0's rmse: 0.0298922	valid_0's l2: 0.000893545
[1236]	valid_0's rmse: 0.0298919	valid_0's l2: 0.000893527
[1237]	valid_0's rmse: 0.0298917	valid_0's l2: 0.000893513
[1238]	valid_0's rmse: 0.0298918	valid_0's l2: 0.000893521
[1239]	valid_0's rmse: 0.0298918	valid_0's l2: 0.000893519
[1240]	valid_0's rmse: 0.029892	valid_0's l2: 0.000893529
[1241]	valid_0's rmse: 0.0298919	valid_0's l2: 0.000893526
[1242]	valid_0's rmse: 0.0298919	valid_0's l2: 0.000893525
[1243]	valid_0's rmse: 0.0298916	valid_0's l2: 0.000893507
[1244]	valid_0's rmse: 0.0298915	valid_0's l2: 0.000893504
[1245]	valid_0's rmse: 0.0298914	valid_0's l2: 0.000893498
[1246]	valid_0's rmse: 0.0298911	valid_0's l2: 0.00089348
[1247]	valid_0's rmse: 0.0298908	valid_0's l2: 0.000893461
[1248]	valid_0's rmse: 0.0298907	valid_0's l2: 0.000893456
[1249]	valid_0's rmse: 0.0298906	valid_0's l2: 0.000893448
[1250]	valid_0's rmse: 0.0298904	valid_0's l2: 0.000893436
[1251]	valid_0's rmse: 0.0298903	valid_0's l2: 0.000893431
[1252]	valid_0's rmse: 0.0298901	valid_0's l2: 0.000893418
[1253]	valid_0's rmse: 0.0298901	valid_0's l2: 0.000893417
[1254]	valid_0's rmse: 0.0298897	valid_0's l2: 0.000893393
[1255]	valid_0's rmse: 0.0298897	valid_0's l2: 0.000893394
[1256]	valid_0's rmse: 0.0298894	valid_0's l2: 0.000893375
[1257]	valid_0's rmse: 0.0298893	valid_0's l2: 0.000893372
[1258]	valid_0's rmse: 0.0298891	valid_0's l2: 0.000893361
[1259]	valid_0's rmse: 0.029889	valid_0's l2: 0.000893355
[1260]	valid_0's rmse: 0.0298888	valid_0's l2: 0.000893338
[1261]	valid_0's rmse: 0.0298884	valid_0's l2: 0.000893319
[1262]	valid_0's rmse: 0.0298883	valid_0's l2: 0.000893313
[1263]	valid_0's rmse: 0.0298882	valid_0's l2: 0.000893302
[1264]	valid_0's rmse: 0.0298882	valid_0's l2: 0.000893305
[1265]	valid_0's rmse: 0.0298879	valid_0's l2: 0.000893285
[1266]	valid_0's rmse: 0.0298878	valid_0's l2: 0.000893279
[1267]	valid_0's rmse: 0.0298875	valid_0's l2: 0.000893262
[1268]	valid_0's rmse: 0.0298871	valid_0's l2: 0.000893241
[1269]	valid_0's rmse: 0.029887	valid_0's l2: 0.000893232
[1270]	valid_0's rmse: 0.0298868	valid_0's l2: 0.00089322
[1271]	valid_0's rmse: 0.0298866	valid_0's l2: 0.000893209
[1272]	valid_0's rmse: 0.0298865	valid_0's l2: 0.000893202
[1273]	valid_0's rmse: 0.0298862	valid_0's l2: 0.000893186
[1274]	valid_0's rmse: 0.0298862	valid_0's l2: 0.000893184
[1275]	valid_0's rmse: 0.029886	valid_0's l2: 0.000893174
[1276]	valid_0's rmse: 0.0298859	valid_0's l2: 0.000893168
[1277]	valid_0's rmse: 0.0298858	valid_0's l2: 0.000893163
[1278]	valid_0's rmse: 0.0298856	valid_0's l2: 0.000893147
[1279]	valid_0's rmse: 0.0298853	valid_0's l2: 0.00089313
[1280]	valid_0's rmse: 0.0298853	valid_0's l2: 0.000893132
[1281]	valid_0's rmse: 0.0298851	valid_0's l2: 0.000893122
[1282]	valid_0's rmse: 0.0298851	valid_0's l2: 0.000893122
[1283]	valid_0's rmse: 0.029885	valid_0's l2: 0.000893115
[1284]	valid_0's rmse: 0.0298848	valid_0's l2: 0.000893104
[1285]	valid_0's rmse: 0.0298848	valid_0's l2: 0.000893099
[1286]	valid_0's rmse: 0.0298847	valid_0's l2: 0.000893097
[1287]	valid_0's rmse: 0.0298844	valid_0's l2: 0.000893078
[1288]	valid_0's rmse: 0.0298843	valid_0's l2: 0.000893069
[1289]	valid_0's rmse: 0.0298842	valid_0's l2: 0.000893068
[1290]	valid_0's rmse: 0.0298841	valid_0's l2: 0.000893061
[1291]	valid_0's rmse: 0.0298837	valid_0's l2: 0.000893037
[1292]	valid_0's rmse: 0.0298835	valid_0's l2: 0.000893024
[1293]	valid_0's rmse: 0.0298834	valid_0's l2: 0.000893015
[1294]	valid_0's rmse: 0.0298835	valid_0's l2: 0.000893026
[1295]	valid_0's rmse: 0.0298833	valid_0's l2: 0.000893011
[1296]	valid_0's rmse: 0.0298831	valid_0's l2: 0.000893003
[1297]	valid_0's rmse: 0.0298831	valid_0's l2: 0.000893
[1298]	valid_0's rmse: 0.029883	valid_0's l2: 0.000892992
[1299]	valid_0's rmse: 0.0298827	valid_0's l2: 0.000892977
[1300]	valid_0's rmse: 0.0298826	valid_0's l2: 0.000892971
